Batch_ID,Product_Name,Manufacturing_Site,Manufacturing_Line,Batch_Start_Time,Reaction_Time,Reactor_Temp,Pressure,pH,Agitation_Speed,Yield,Batch_Status,Batch_End_Time
BATCH_0001,AtorvaCap,Plant_B,Line_3,2024-04-29,7.51,70.72,1.79,6.92,199.0,89.33,Pass,2024-04-29 07:30:36.000000000
BATCH_0002,AmoxiTab,Plant_B,Line_3,2024-02-28,8.07,71.9,1.87,5.94,243.0,92.42,Pass,2024-02-28 08:04:12.000000000
BATCH_0003,AtorvaCap,Plant_A,Line_1,2024-08-02,5.79,76.69,1.63,6.91,221.0,97.13,Pass,2024-08-02 05:47:24.000000000
BATCH_0004,AtorvaCap,Plant_B,Line_1,2024-05-07,7.87,79.08,1.4,6.89,206.0,94.53,Pass,2024-05-07 07:52:12.000000000
BATCH_0005,AmoxiTab,Plant_B,Line_2,2024-08-11,9.78,80.5,1.02,6.6,188.0,94.03,Pass,2024-08-11 09:46:48.000000000
BATCH_0006,AmoxiTab,Plant_A,Line_2,2024-07-27,7.01,70.71,1.27,5.97,227.0,98.52,Pass,2024-07-27 07:00:36.000000000
BATCH_0007,AtorvaCap,Plant_B,Line_1,2024-04-24,9.53,77.17,1.36,6.71,239.0,87.84,Pass,2024-04-24 09:31:48.000000000
BATCH_0008,MetforminXR,Plant_A,Line_2,2024-07-27,8.14,80.94,1.29,6.79,229.0,91.26,Pass,2024-07-27 08:08:24.000000000
BATCH_0009,AtorvaCap,Plant_A,Line_1,2024-01-14,5.92,70.06,1.52,6.65,212.0,84.98,Fail,2024-01-14 05:55:12.000000000
BATCH_0010,AtorvaCap,Plant_B,Line_2,2024-01-09,6.34,82.43,1.4,6.07,224.0,87.62,Pass,2024-01-09 06:20:24.000000000
BATCH_0011,AtorvaCap,Plant_B,Line_1,2024-02-09,9.38,83.19,1.55,7.44,224.0,96.3,Pass,2024-02-09 09:22:48.000000000
BATCH_0012,AtorvaCap,Plant_B,Line_1,2024-08-24,8.83,88.13,1.86,6.54,226.0,88.33,Pass,2024-08-24 08:49:48.000000000
BATCH_0013,AmoxiTab,Plant_B,Line_1,2024-10-07,8.15,76.15,1.38,6.71,184.0,94.94,Pass,2024-10-07 08:09:00.000000000
BATCH_0014,AtorvaCap,Plant_A,Line_2,2024-12-24,7.59,76.18,1.09,5.84,226.0,98.63,Pass,2024-12-24 07:35:24.000000000
BATCH_0015,MetforminXR,Plant_B,Line_2,2024-07-19,8.32,79.13,1.29,7.44,207.0,91.29,Pass,2024-07-19 08:19:12.000000000
BATCH_0016,AmoxiTab,Plant_A,Line_2,2024-09-02,9.32,78.99,1.68,6.61,251.0,94.08,Pass,2024-09-02 09:19:12.000000000
BATCH_0017,MetforminXR,Plant_B,Line_1,2024-10-04,10.21,80.63,1.7,6.84,224.0,94.97,Pass,2024-10-04 10:12:36.000000000
BATCH_0018,MetforminXR,Plant_B,Line_2,2024-08-22,10.29,78.92,1.62,7.25,245.0,87.11,Pass,2024-08-22 10:17:23.999999999
BATCH_0019,MetforminXR,Plant_B,Line_2,2024-01-04,8.56,74.47,1.89,6.53,211.0,89.53,Pass,2024-01-04 08:33:36.000000000
BATCH_0020,MetforminXR,Plant_A,Line_1,2024-06-02,7.74,81.11,1.44,7.19,212.0,87.99,Pass,2024-06-02 07:44:24.000000000
BATCH_0021,AmoxiTab,Plant_B,Line_3,2024-01-29,8.22,69.64,2.12,5.98,265.0,89.85,Pass,2024-01-29 08:13:12.000000000
BATCH_0022,AmoxiTab,Plant_B,Line_1,2024-04-18,8.78,75.03,1.75,7.02,233.0,94.86,Pass,2024-04-18 08:46:48.000000000
BATCH_0023,MetforminXR,Plant_B,Line_2,2024-04-07,8.78,82.82,0.74,7.43,199.0,89.62,Pass,2024-04-07 08:46:48.000000000
BATCH_0024,MetforminXR,Plant_B,Line_1,2024-08-02,9.96,68.75,2.04,6.57,247.0,91.86,Pass,2024-08-02 09:57:36.000000000
BATCH_0025,AmoxiTab,Plant_A,Line_3,2024-10-19,11.17,71.61,1.27,7.25,204.0,87.83,Pass,2024-10-19 11:10:12.000000000
BATCH_0026,AmoxiTab,Plant_B,Line_1,2024-03-15,7.69,78.36,1.19,7.53,227.0,96.91,Pass,2024-03-15 07:41:24.000000000
BATCH_0027,AmoxiTab,Plant_A,Line_2,2024-11-21,11.23,76.97,1.66,6.7,275.0,89.82,Pass,2024-11-21 11:13:48.000000000
BATCH_0028,AtorvaCap,Plant_A,Line_3,2024-05-25,9.76,70.62,0.98,6.66,177.0,98.09,Pass,2024-05-25 09:45:36.000000000
BATCH_0029,AtorvaCap,Plant_A,Line_2,2024-05-07,7.85,72.92,1.29,6.44,215.0,92.24,Pass,2024-05-07 07:51:00.000000000
BATCH_0030,AtorvaCap,Plant_A,Line_3,2024-12-06,10.25,69.1,1.97,6.6,232.0,86.37,Pass,2024-12-06 10:15:00.000000000
BATCH_0031,MetforminXR,Plant_A,Line_3,2024-02-11,10.53,79.9,1.67,6.47,243.0,91.32,Pass,2024-02-11 10:31:48.000000000
BATCH_0032,AtorvaCap,Plant_A,Line_1,2024-12-21,7.31,73.72,1.74,6.44,183.0,87.75,Pass,2024-12-21 07:18:36.000000000
BATCH_0033,MetforminXR,Plant_B,Line_1,2024-02-10,10.6,83.96,1.3,7.28,174.0,94.36,Pass,2024-02-10 10:36:00.000000000
BATCH_0034,MetforminXR,Plant_A,Line_2,2024-02-03,9.61,75.41,1.04,6.48,253.0,90.95,Pass,2024-02-03 09:36:36.000000000
BATCH_0035,AtorvaCap,Plant_A,Line_1,2024-01-17,11.55,73.9,1.71,6.9,198.0,92.65,Pass,2024-01-17 11:33:00.000000000
BATCH_0036,MetforminXR,Plant_A,Line_1,2024-06-13,7.36,73.42,1.78,6.82,197.0,90.52,Pass,2024-06-13 07:21:36.000000000
BATCH_0037,AtorvaCap,Plant_B,Line_3,2024-06-01,7.47,73.78,1.77,7.4,267.0,89.78,Pass,2024-06-01 07:28:12.000000000
BATCH_0038,AtorvaCap,Plant_B,Line_1,2024-03-16,4.96,75.55,1.56,6.6,222.0,88.11,Pass,2024-03-16 04:57:36.000000000
BATCH_0039,AmoxiTab,Plant_A,Line_3,2024-03-27,8.86,87.56,1.21,6.95,222.0,95.34,Pass,2024-03-27 08:51:36.000000000
BATCH_0040,AtorvaCap,Plant_B,Line_3,2024-04-26,8.56,73.31,2.23,7.12,215.0,91.31,Pass,2024-04-26 08:33:36.000000000
BATCH_0041,AmoxiTab,Plant_A,Line_3,2024-12-27,7.16,73.47,1.64,7.4,183.0,90.74,Pass,2024-12-27 07:09:36.000000000
BATCH_0042,AtorvaCap,Plant_A,Line_2,2024-12-07,7.88,75.33,1.45,6.59,240.0,91.21,Pass,2024-12-07 07:52:48.000000000
BATCH_0043,AtorvaCap,Plant_B,Line_2,2024-01-27,6.03,80.45,1.45,6.55,232.0,89.28,Pass,2024-01-27 06:01:48.000000000
BATCH_0044,AmoxiTab,Plant_A,Line_2,2024-11-08,9.8,67.9,1.54,6.38,225.0,90.75,Pass,2024-11-08 09:48:00.000000000
BATCH_0045,AmoxiTab,Plant_B,Line_3,2024-10-13,7.27,77.28,1.82,7.69,217.0,92.82,Pass,2024-10-13 07:16:12.000000000
BATCH_0046,AtorvaCap,Plant_B,Line_2,2024-05-13,12.64,70.91,1.56,7.35,211.0,87.86,Pass,2024-05-13 12:38:24.000000000
BATCH_0047,MetforminXR,Plant_A,Line_2,2024-08-06,7.74,77.77,1.76,6.78,247.0,88.44,Pass,2024-08-06 07:44:24.000000000
BATCH_0048,AmoxiTab,Plant_A,Line_1,2024-06-16,6.86,72.53,1.55,7.57,216.0,97.51,Pass,2024-06-16 06:51:36.000000000
BATCH_0049,MetforminXR,Plant_B,Line_2,2024-04-07,7.38,63.48,1.47,6.76,218.0,90.55,Pass,2024-04-07 07:22:48.000000000
BATCH_0050,MetforminXR,Plant_A,Line_2,2024-09-24,5.88,76.85,1.69,7.09,236.0,89.79,Pass,2024-09-24 05:52:48.000000000
BATCH_0051,MetforminXR,Plant_A,Line_3,2024-08-24,8.72,76.81,1.68,6.8,226.0,86.62,Pass,2024-08-24 08:43:12.000000000
BATCH_0052,AmoxiTab,Plant_A,Line_3,2024-11-04,7.37,72.1,1.45,6.96,269.0,95.4,Pass,2024-11-04 07:22:12.000000000
BATCH_0053,MetforminXR,Plant_B,Line_3,2024-06-21,9.7,71.81,1.28,6.92,167.0,87.78,Pass,2024-06-21 09:42:00.000000000
BATCH_0054,AmoxiTab,Plant_B,Line_3,2024-07-08,7.59,68.44,1.6,6.63,229.0,91.94,Pass,2024-07-08 07:35:24.000000000
BATCH_0055,MetforminXR,Plant_A,Line_3,2024-05-01,10.08,78.87,1.52,7.24,199.0,85.17,Pass,2024-05-01 10:04:48.000000000
BATCH_0056,AtorvaCap,Plant_B,Line_3,2024-02-15,9.14,79.41,1.33,7.09,192.0,95.27,Pass,2024-02-15 09:08:24.000000000
BATCH_0057,AtorvaCap,Plant_B,Line_2,2024-03-04,8.04,70.6,1.25,7.21,206.0,96.71,Pass,2024-03-04 08:02:24.000000000
BATCH_0058,AmoxiTab,Plant_B,Line_3,2024-05-09,10.37,72.3,1.62,6.93,222.0,93.94,Pass,2024-05-09 10:22:12.000000000
BATCH_0059,AtorvaCap,Plant_B,Line_3,2024-11-05,9.43,74.68,1.67,6.44,223.0,85.86,Pass,2024-11-05 09:25:48.000000000
BATCH_0060,AtorvaCap,Plant_B,Line_1,2024-12-28,12.42,86.35,1.39,7.48,174.0,95.36,Pass,2024-12-28 12:25:12.000000000
BATCH_0061,MetforminXR,Plant_A,Line_2,2024-07-11,7.39,77.73,1.33,6.69,204.0,88.69,Pass,2024-07-11 07:23:24.000000000
BATCH_0062,AmoxiTab,Plant_A,Line_2,2024-11-02,8.11,70.28,1.25,6.95,228.0,87.32,Pass,2024-11-02 08:06:36.000000000
BATCH_0063,MetforminXR,Plant_A,Line_2,2024-06-29,10.35,76.52,1.61,7.05,194.0,90.47,Pass,2024-06-29 10:21:00.000000000
BATCH_0064,MetforminXR,Plant_B,Line_3,2024-10-18,5.68,68.12,1.26,6.94,187.0,90.39,Pass,2024-10-18 05:40:48.000000000
BATCH_0065,MetforminXR,Plant_B,Line_3,2024-10-08,9.98,78.59,2.17,7.17,152.0,89.98,Pass,2024-10-08 09:58:48.000000000
BATCH_0066,MetforminXR,Plant_A,Line_3,2024-01-29,8.66,83.38,1.38,7.23,200.0,97.09,Pass,2024-01-29 08:39:36.000000000
BATCH_0067,MetforminXR,Plant_B,Line_1,2024-05-28,6.67,83.4,0.77,6.71,186.0,100.05,Pass,2024-05-28 06:40:12.000000000
BATCH_0068,MetforminXR,Plant_A,Line_3,2024-09-23,5.96,78.67,1.49,7.45,190.0,86.52,Pass,2024-09-23 05:57:36.000000000
BATCH_0069,MetforminXR,Plant_A,Line_1,2024-10-22,6.99,72.08,1.48,6.69,212.0,89.24,Pass,2024-10-22 06:59:24.000000000
BATCH_0070,AmoxiTab,Plant_A,Line_2,2024-01-11,4.57,68.5,1.83,6.93,202.0,92.57,Pass,2024-01-11 04:34:11.999999999
BATCH_0071,AtorvaCap,Plant_B,Line_3,2024-06-12,7.27,68.0,1.59,6.64,185.0,90.45,Pass,2024-06-12 07:16:12.000000000
BATCH_0072,MetforminXR,Plant_B,Line_1,2024-04-22,8.93,60.97,1.25,6.53,157.0,93.6,Pass,2024-04-22 08:55:48.000000000
BATCH_0073,MetforminXR,Plant_A,Line_1,2024-07-05,7.29,78.47,1.41,7.22,229.0,95.66,Pass,2024-07-05 07:17:23.999999999
BATCH_0074,MetforminXR,Plant_A,Line_3,2024-10-21,10.08,74.49,1.6,8.05,243.0,95.0,Pass,2024-10-21 10:04:48.000000000
BATCH_0075,MetforminXR,Plant_A,Line_2,2024-08-19,10.49,79.55,0.85,6.66,208.0,94.44,Pass,2024-08-19 10:29:24.000000000
BATCH_0076,MetforminXR,Plant_A,Line_2,2024-08-14,9.91,82.14,1.9,7.29,212.0,98.64,Pass,2024-08-14 09:54:36.000000000
BATCH_0077,MetforminXR,Plant_B,Line_2,2024-11-05,8.35,75.5,1.25,6.67,220.0,85.64,Pass,2024-11-05 08:21:00.000000000
BATCH_0078,AtorvaCap,Plant_B,Line_1,2024-04-07,4.51,75.73,1.93,6.8,267.0,97.92,Pass,2024-04-07 04:30:36.000000000
BATCH_0079,AtorvaCap,Plant_A,Line_1,2024-02-24,6.94,72.68,1.62,7.5,173.0,90.35,Pass,2024-02-24 06:56:24.000000000
BATCH_0080,MetforminXR,Plant_A,Line_1,2024-04-20,7.79,73.27,1.69,6.37,208.0,95.14,Pass,2024-04-20 07:47:24.000000000
BATCH_0081,AtorvaCap,Plant_B,Line_1,2024-05-31,6.66,78.64,1.84,6.26,168.0,87.88,Pass,2024-05-31 06:39:36.000000000
BATCH_0082,AmoxiTab,Plant_B,Line_2,2024-09-02,7.79,74.13,1.67,6.77,231.0,88.37,Pass,2024-09-02 07:47:24.000000000
BATCH_0083,MetforminXR,Plant_A,Line_3,2024-03-09,10.42,73.4,1.7,7.07,216.0,94.65,Pass,2024-03-09 10:25:12.000000000
BATCH_0084,AmoxiTab,Plant_A,Line_1,2024-11-07,5.53,74.91,1.45,6.99,226.0,84.29,Fail,2024-11-07 05:31:48.000000000
BATCH_0085,AmoxiTab,Plant_A,Line_1,2024-10-15,10.72,79.43,1.61,6.94,225.0,95.96,Pass,2024-10-15 10:43:12.000000000
BATCH_0086,MetforminXR,Plant_B,Line_2,2024-09-06,9.33,71.54,1.32,6.81,250.0,97.04,Pass,2024-09-06 09:19:48.000000000
BATCH_0087,AtorvaCap,Plant_B,Line_3,2024-02-05,8.4,74.67,1.4,7.11,236.0,92.71,Pass,2024-02-05 08:24:00.000000000
BATCH_0088,AmoxiTab,Plant_B,Line_3,2024-08-26,6.93,76.23,2.09,5.63,245.0,92.57,Pass,2024-08-26 06:55:48.000000000
BATCH_0089,MetforminXR,Plant_A,Line_2,2024-05-27,6.69,80.8,1.26,6.5,188.0,88.67,Pass,2024-05-27 06:41:24.000000000
BATCH_0090,AmoxiTab,Plant_A,Line_2,2024-08-14,5.56,73.8,1.55,6.76,256.0,94.7,Pass,2024-08-14 05:33:36.000000000
BATCH_0091,AmoxiTab,Plant_B,Line_3,2024-08-31,10.58,71.41,1.53,7.08,198.0,93.39,Pass,2024-08-31 10:34:47.999999999
BATCH_0092,AmoxiTab,Plant_B,Line_1,2024-12-02,10.31,72.58,1.41,7.4,200.0,88.31,Pass,2024-12-02 10:18:36.000000000
BATCH_0093,AmoxiTab,Plant_A,Line_3,2024-12-30,5.89,80.27,1.65,6.45,228.0,90.43,Pass,2024-12-30 05:53:24.000000000
BATCH_0094,AtorvaCap,Plant_B,Line_2,2024-07-19,7.17,85.17,1.68,7.38,229.0,91.36,Pass,2024-07-19 07:10:12.000000000
BATCH_0095,AmoxiTab,Plant_B,Line_1,2024-06-02,8.65,68.43,1.22,6.62,188.0,90.43,Pass,2024-06-02 08:39:00.000000000
BATCH_0096,AmoxiTab,Plant_A,Line_1,2024-03-13,7.55,69.52,1.53,6.75,215.0,86.55,Pass,2024-03-13 07:33:00.000000000
BATCH_0097,AmoxiTab,Plant_B,Line_2,2024-07-19,5.12,74.16,1.18,7.03,265.0,94.8,Pass,2024-07-19 05:07:12.000000000
BATCH_0098,AtorvaCap,Plant_A,Line_2,2024-10-22,7.01,75.55,1.74,6.72,176.0,91.03,Pass,2024-10-22 07:00:36.000000000
BATCH_0099,AmoxiTab,Plant_A,Line_2,2024-01-17,10.93,78.93,1.55,7.24,265.0,92.06,Pass,2024-01-17 10:55:48.000000000
BATCH_0100,AmoxiTab,Plant_A,Line_3,2024-05-08,7.12,70.54,1.52,6.64,213.0,89.69,Pass,2024-05-08 07:07:12.000000000
BATCH_0101,AtorvaCap,Plant_A,Line_3,2024-08-04,7.75,69.68,1.7,6.64,150.0,93.9,Pass,2024-08-04 07:45:00.000000000
BATCH_0102,AtorvaCap,Plant_A,Line_1,2024-03-01,6.28,75.69,1.42,7.22,179.0,92.79,Pass,2024-03-01 06:16:48.000000000
BATCH_0103,AtorvaCap,Plant_A,Line_2,2024-04-13,8.88,73.71,1.77,6.49,191.0,96.85,Pass,2024-04-13 08:52:48.000000000
BATCH_0104,AmoxiTab,Plant_A,Line_1,2024-02-11,8.17,79.63,1.22,6.9,201.0,93.92,Pass,2024-02-11 08:10:12.000000000
BATCH_0105,AtorvaCap,Plant_B,Line_1,2024-01-25,6.89,77.44,1.92,6.14,217.0,91.19,Pass,2024-01-25 06:53:24.000000000
BATCH_0106,AtorvaCap,Plant_A,Line_1,2024-02-08,6.04,77.78,1.33,7.53,139.0,89.04,Pass,2024-02-08 06:02:24.000000000
BATCH_0107,AmoxiTab,Plant_A,Line_1,2024-10-17,10.11,74.48,0.99,7.28,226.0,95.46,Pass,2024-10-17 10:06:36.000000000
BATCH_0108,AtorvaCap,Plant_B,Line_2,2024-05-10,5.59,86.78,1.4,7.9,188.0,90.87,Pass,2024-05-10 05:35:24.000000000
BATCH_0109,AmoxiTab,Plant_B,Line_1,2024-08-16,8.76,70.81,1.37,7.34,262.0,91.31,Pass,2024-08-16 08:45:36.000000000
BATCH_0110,MetforminXR,Plant_B,Line_2,2024-04-17,4.77,78.05,1.4,6.35,212.0,91.31,Pass,2024-04-17 04:46:12.000000000
BATCH_0111,AtorvaCap,Plant_A,Line_2,2024-06-20,9.06,68.65,1.57,7.07,248.0,90.39,Pass,2024-06-20 09:03:36.000000000
BATCH_0112,MetforminXR,Plant_B,Line_3,2024-04-11,9.46,69.63,1.83,6.43,253.0,91.38,Pass,2024-04-11 09:27:36.000000000
BATCH_0113,AmoxiTab,Plant_A,Line_2,2024-12-19,9.64,71.96,1.44,7.43,252.0,99.7,Pass,2024-12-19 09:38:24.000000000
BATCH_0114,AtorvaCap,Plant_A,Line_3,2024-01-12,7.76,83.15,1.29,6.36,203.0,87.81,Pass,2024-01-12 07:45:36.000000000
BATCH_0115,AmoxiTab,Plant_A,Line_2,2024-10-01,10.38,76.32,1.16,6.34,203.0,88.74,Pass,2024-10-01 10:22:48.000000000
BATCH_0116,MetforminXR,Plant_A,Line_2,2024-04-10,11.46,72.05,1.36,6.16,213.0,97.54,Pass,2024-04-10 11:27:36.000000000
BATCH_0117,AmoxiTab,Plant_B,Line_2,2024-02-13,7.52,76.87,0.93,6.6,239.0,90.5,Pass,2024-02-13 07:31:12.000000000
BATCH_0118,AtorvaCap,Plant_B,Line_3,2024-10-31,7.32,75.18,1.28,6.52,205.0,90.2,Pass,2024-10-31 07:19:12.000000000
BATCH_0119,AtorvaCap,Plant_A,Line_3,2024-01-17,8.22,72.54,1.87,6.3,216.0,96.14,Pass,2024-01-17 08:13:12.000000000
BATCH_0120,MetforminXR,Plant_A,Line_1,2024-11-25,7.28,68.02,1.25,7.6,228.0,86.32,Pass,2024-11-25 07:16:48.000000000
