Batch_ID,Sample_ID,Instrument_Type,Retention_Time,Impurity_A,Impurity_B,Total_Impurity,Purity,Test_Date
BATCH_0001,SMP_00000,HPLC,5.081,0.0985,0.0468,0.1453,98.547,2024-08-09
BATCH_0002,SMP_00001,UPLC,5.228,0.1699,0.1567,0.3266,96.734,2024-03-31
BATCH_0003,SMP_00002,HPLC,5.271,0.3265,0.1627,0.4892,95.108,2024-06-15
BATCH_0004,SMP_00003,UPLC,5.603,0.3011,0.2016,0.5027,94.973,2024-07-25
BATCH_0005,SMP_00004,UPLC,5.393,0.2088,0.074,0.2828,97.172,2024-10-08
BATCH_0006,SMP_00005,HPLC,5.548,0.3311,0.2235,0.5546,94.454,2024-03-05
BATCH_0007,SMP_00006,UPLC,4.931,0.2638,0.3329,0.5967,94.033,2024-01-04
BATCH_0008,SMP_00007,HPLC,5.131,0.1996,0.218,0.4176,95.824,2024-06-05
BATCH_0009,SMP_00008,HPLC,5.248,0.2317,0.1874,0.4191,95.809,2024-09-05
BATCH_0010,SMP_00009,HPLC,4.816,0.2045,0.0698,0.2743,97.257,2024-09-13
BATCH_0011,SMP_00010,UPLC,5.436,0.1316,0.1181,0.2497,97.503,2024-08-22
BATCH_0012,SMP_00011,UPLC,5.328,0.3757,0.1755,0.5512,94.488,2024-11-01
BATCH_0013,SMP_00012,UPLC,5.127,0.1932,0.1376,0.3308,96.692,2024-03-14
BATCH_0014,SMP_00013,HPLC,5.163,0.1668,0.2621,0.4289,95.711,2024-07-05
BATCH_0015,SMP_00014,HPLC,5.451,0.0971,0.2227,0.3198,96.802,2024-03-02
BATCH_0016,SMP_00015,HPLC,5.041,0.0136,0.3954,0.409,95.91,2024-12-02
BATCH_0017,SMP_00016,UPLC,5.459,0.3201,0.1015,0.4216,95.784,2024-06-12
BATCH_0018,SMP_00017,HPLC,5.15,0.3294,0.1826,0.512,94.88,2024-02-25
BATCH_0019,SMP_00018,HPLC,5.351,0.3693,0.0693,0.4386,95.614,2024-04-20
BATCH_0020,SMP_00019,UPLC,5.217,0.2351,0.0022,0.2373,97.627,2024-08-05
BATCH_0021,SMP_00020,UPLC,5.647,0.2178,0.2378,0.4556,95.444,2024-08-27
BATCH_0022,SMP_00021,UPLC,5.023,0.1992,0.2197,0.4189,95.811,2024-01-21
BATCH_0023,SMP_00022,HPLC,5.085,0.2083,0.1116,0.3199,96.801,2024-05-20
BATCH_0024,SMP_00023,HPLC,4.899,0.362,0.1874,0.5494,94.506,2024-09-21
BATCH_0025,SMP_00024,HPLC,4.981,0.2473,0.1297,0.377,96.23,2024-05-18
BATCH_0026,SMP_00025,UPLC,5.343,0.2878,0.1405,0.4283,95.717,2024-03-10
BATCH_0027,SMP_00026,UPLC,5.52,0.2058,0.1544,0.3602,96.398,2024-04-27
BATCH_0028,SMP_00027,UPLC,5.365,0.3821,0.1083,0.4904,95.096,2024-07-16
BATCH_0029,SMP_00028,UPLC,5.199,0.0595,0.1227,0.1822,98.178,2024-07-23
BATCH_0030,SMP_00029,HPLC,5.021,0.1279,0.1249,0.2528,97.472,2024-08-01
BATCH_0031,SMP_00030,HPLC,5.38,0.288,0.2138,0.5018,94.982,2024-02-25
BATCH_0032,SMP_00031,HPLC,5.01,0.4251,0.0419,0.467,95.33,2024-10-13
BATCH_0033,SMP_00032,HPLC,4.93,0.2275,0.1618,0.3893,96.107,2024-10-19
BATCH_0034,SMP_00033,HPLC,5.138,0.1658,0.093,0.2588,97.412,2024-06-23
BATCH_0035,SMP_00034,HPLC,4.793,0.3501,0.0959,0.446,95.54,2024-12-12
BATCH_0036,SMP_00035,HPLC,4.924,0.2824,0.1379,0.4203,95.797,2024-05-07
BATCH_0037,SMP_00036,HPLC,5.577,0.379,0.1789,0.5579,94.421,2024-11-20
BATCH_0038,SMP_00037,UPLC,4.887,0.121,0.1628,0.2838,97.162,2024-10-18
BATCH_0039,SMP_00038,UPLC,4.962,0.3712,0.0949,0.4661,95.339,2024-10-14
BATCH_0040,SMP_00039,HPLC,5.214,0.0952,0.2377,0.3329,96.671,2024-08-13
BATCH_0041,SMP_00040,UPLC,5.225,0.2212,0.1078,0.329,96.71,2024-03-04
BATCH_0042,SMP_00041,HPLC,5.153,0.2913,0.1212,0.4125,95.875,2024-02-17
BATCH_0043,SMP_00042,HPLC,4.799,0.2686,0.2028,0.4714,95.286,2024-07-20
BATCH_0044,SMP_00043,UPLC,5.37,0.3561,0.2056,0.5617,94.383,2024-12-02
BATCH_0045,SMP_00044,HPLC,5.111,0.0673,0.1311,0.1984,98.016,2024-02-29
BATCH_0046,SMP_00045,HPLC,5.444,0.2641,0.0549,0.319,96.81,2024-09-13
BATCH_0047,SMP_00046,HPLC,5.071,0.37,0.1092,0.4792,95.208,2024-03-05
BATCH_0048,SMP_00047,HPLC,5.396,0.2559,0.193,0.4489,95.511,2024-08-26
BATCH_0049,SMP_00048,HPLC,5.459,0.1358,0.2351,0.3709,96.291,2024-10-15
BATCH_0050,SMP_00049,HPLC,5.107,0.3508,0.1737,0.5245,94.755,2024-02-07
BATCH_0051,SMP_00050,HPLC,5.376,0.1852,0.1417,0.3269,96.731,2024-01-25
BATCH_0052,SMP_00051,UPLC,4.934,0.1676,0.3635,0.5311,94.689,2024-02-28
BATCH_0053,SMP_00052,UPLC,5.253,0.155,0.1502,0.3052,96.948,2024-12-22
