timestamp,Batch_ID,Temperature,Pressure,pH,Dissolved_Oxygen
2024-01-17 00:00:00,BATCH_0001,76.23,1.447,7.03,37.447
2024-01-17 00:05:00,BATCH_0001,75.832,1.488,6.921,38.269
2024-01-17 00:10:00,BATCH_0001,76.221,1.376,6.966,39.339
2024-01-17 00:15:00,BATCH_0001,75.615,1.509,6.882,37.984
2024-01-17 00:20:00,BATCH_0001,75.352,1.559,6.882,40.273
2024-01-17 00:25:00,BATCH_0001,76.755,1.41,6.885,40.051
2024-01-17 00:30:00,BATCH_0001,76.26,1.524,6.894,39.382
2024-01-17 00:35:00,BATCH_0001,78.351,1.367,6.832,38.175
2024-01-17 00:40:00,BATCH_0001,76.961,1.435,6.91,38.676
2024-01-17 00:45:00,BATCH_0001,76.815,1.389,6.903,38.724
2024-01-17 00:50:00,BATCH_0001,73.942,1.433,6.929,38.904
2024-01-17 00:55:00,BATCH_0001,75.865,1.445,6.926,38.57
2024-01-17 01:00:00,BATCH_0001,75.191,1.459,6.859,39.578
2024-01-17 01:05:00,BATCH_0001,77.388,1.455,6.841,40.05
2024-01-17 01:10:00,BATCH_0001,76.735,1.417,6.917,38.781
2024-01-17 01:15:00,BATCH_0001,75.71,1.424,6.954,41.825
2024-01-17 01:20:00,BATCH_0001,76.126,1.38,7.059,40.534
2024-01-17 01:25:00,BATCH_0001,76.709,1.454,6.944,39.424
2024-01-17 01:30:00,BATCH_0001,76.803,1.433,6.957,40.998
2024-01-17 01:35:00,BATCH_0001,77.077,1.509,6.881,41.722
2024-01-17 01:40:00,BATCH_0001,76.611,1.472,6.953,39.645
2024-01-17 01:45:00,BATCH_0001,75.707,1.439,6.997,39.932
2024-01-17 01:50:00,BATCH_0001,76.305,1.46,6.899,37.258
2024-01-17 01:55:00,BATCH_0001,76.695,1.49,6.932,38.526
2024-01-17 02:00:00,BATCH_0001,77.537,1.44,6.945,38.991
2024-01-17 02:05:00,BATCH_0001,75.0,1.486,6.857,40.11
2024-01-17 02:10:00,BATCH_0001,76.265,1.401,6.868,38.91
2024-01-17 02:15:00,BATCH_0001,75.578,1.381,6.876,39.926
2024-01-17 02:20:00,BATCH_0001,77.672,1.507,6.94,41.189
2024-01-17 02:25:00,BATCH_0001,77.004,1.442,6.945,41.008
