Batch_ID,Time_Point_Month,Storage_Temperature,Potency,Degradation
BATCH_0001,0,25,99.45,0.55
BATCH_0001,1,40,98.57,1.43
BATCH_0001,3,25,98.96,1.04
BATCH_0001,6,25,97.35,2.65
BATCH_0001,9,40,97.24,2.76
BATCH_0001,12,30,95.77,4.23
BATCH_0002,0,30,102.46,0.0
BATCH_0002,1,30,101.84,0.0
BATCH_0002,3,25,100.96,0.0
BATCH_0002,6,25,100.63,0.0
BATCH_0002,9,25,98.75,1.25
BATCH_0002,12,30,98.32,1.68
BATCH_0003,0,25,100.88,0.0
BATCH_0003,1,25,101.0,0.0
BATCH_0003,3,25,101.0,0.0
BATCH_0003,6,30,98.79,1.21
BATCH_0003,9,25,97.6,2.4
BATCH_0003,12,30,96.91,3.09
BATCH_0004,0,25,98.01,1.99
BATCH_0004,1,25,97.64,2.36
BATCH_0004,3,40,97.54,2.46
BATCH_0004,6,30,95.48,4.52
BATCH_0004,9,25,95.55,4.45
BATCH_0004,12,25,94.91,5.09
BATCH_0005,0,25,97.76,2.24
BATCH_0005,1,25,97.61,2.39
BATCH_0005,3,25,96.27,3.73
BATCH_0005,6,40,96.22,3.78
BATCH_0005,9,30,95.54,4.46
BATCH_0005,12,40,92.84,7.16
BATCH_0006,0,25,101.52,0.0
BATCH_0006,1,40,100.2,0.0
BATCH_0006,3,40,98.97,1.03
BATCH_0006,6,25,97.75,2.25
BATCH_0006,9,40,98.78,1.22
BATCH_0006,12,25,97.0,3.0
BATCH_0007,0,25,101.06,0.0
BATCH_0007,1,40,100.87,0.0
BATCH_0007,3,25,101.31,0.0
BATCH_0007,6,30,100.07,0.0
BATCH_0007,9,25,97.89,2.11
BATCH_0007,12,30,97.49,2.51
BATCH_0008,0,40,100.79,0.0
BATCH_0008,1,40,100.66,0.0
BATCH_0008,3,40,100.38,0.0
BATCH_0008,6,40,99.59,0.41
BATCH_0008,9,40,98.72,1.28
BATCH_0008,12,30,98.0,2.0
BATCH_0009,0,25,99.28,0.72
BATCH_0009,1,30,98.71,1.29
BATCH_0009,3,25,98.74,1.26
BATCH_0009,6,40,97.68,2.32
BATCH_0009,9,25,96.46,3.54
BATCH_0009,12,40,95.72,4.28
BATCH_0010,0,30,98.44,1.56
BATCH_0010,1,40,98.91,1.09
BATCH_0010,3,25,98.11,1.89
BATCH_0010,6,30,97.69,2.31
BATCH_0010,9,30,96.12,3.88
BATCH_0010,12,25,96.08,3.92
BATCH_0011,0,40,100.44,0.0
BATCH_0011,1,25,98.81,1.19
BATCH_0011,3,25,99.81,0.19
BATCH_0011,6,25,97.96,2.04
BATCH_0011,9,25,98.21,1.79
BATCH_0011,12,30,95.32,4.68
BATCH_0012,0,30,100.53,0.0
BATCH_0012,1,30,100.68,0.0
BATCH_0012,3,25,99.68,0.32
BATCH_0012,6,40,99.62,0.38
BATCH_0012,9,30,98.1,1.9
BATCH_0012,12,40,97.02,2.98
BATCH_0013,0,40,99.93,0.07
BATCH_0013,1,25,99.2,0.8
BATCH_0013,3,25,99.52,0.48
BATCH_0013,6,40,99.22,0.78
BATCH_0013,9,30,98.36,1.64
BATCH_0013,12,40,96.29,3.71
BATCH_0014,0,30,99.07,0.93
BATCH_0014,1,25,99.18,0.82
BATCH_0014,3,40,99.22,0.78
BATCH_0014,6,30,97.18,2.82
BATCH_0014,9,25,96.19,3.81
BATCH_0014,12,25,95.98,4.02
BATCH_0015,0,25,98.23,1.77
BATCH_0015,1,40,98.92,1.08
BATCH_0015,3,40,98.85,1.15
BATCH_0015,6,40,97.62,2.38
BATCH_0015,9,25,96.77,3.23
BATCH_0015,12,40,95.07,4.93
BATCH_0016,0,25,101.19,0.0
BATCH_0016,1,40,100.34,0.0
BATCH_0016,3,30,99.48,0.52
BATCH_0016,6,25,98.21,1.79
BATCH_0016,9,30,96.86,3.14
BATCH_0016,12,25,96.68,3.32
BATCH_0017,0,25,100.39,0.0
BATCH_0017,1,40,99.93,0.07
BATCH_0017,3,30,98.96,1.04
BATCH_0017,6,30,96.82,3.18
BATCH_0017,9,25,97.51,2.49
BATCH_0017,12,40,97.37,2.63
BATCH_0018,0,30,99.56,0.44
BATCH_0018,1,40,98.95,1.05
BATCH_0018,3,30,98.53,1.47
BATCH_0018,6,30,97.11,2.89
BATCH_0018,9,40,95.96,4.04
BATCH_0018,12,40,96.14,3.86
BATCH_0019,0,40,97.36,2.64
BATCH_0019,1,40,97.24,2.76
BATCH_0019,3,40,96.58,3.42
BATCH_0019,6,40,95.76,4.24
BATCH_0019,9,25,95.14,4.86
BATCH_0019,12,30,93.64,6.36
BATCH_0020,0,30,100.99,0.0
BATCH_0020,1,25,100.82,0.0
BATCH_0020,3,40,98.99,1.01
BATCH_0020,6,40,100.1,0.0
BATCH_0020,9,40,97.4,2.6
BATCH_0020,12,40,97.4,2.6
BATCH_0021,0,30,99.63,0.37
BATCH_0021,1,40,99.67,0.33
BATCH_0021,3,40,99.67,0.33
BATCH_0021,6,40,98.4,1.6
BATCH_0021,9,25,98.71,1.29
BATCH_0021,12,25,96.4,3.6
BATCH_0022,0,40,100.13,0.0
BATCH_0022,1,40,99.45,0.55
BATCH_0022,3,25,98.92,1.08
BATCH_0022,6,40,98.75,1.25
BATCH_0022,9,40,98.09,1.91
BATCH_0022,12,40,97.14,2.86
BATCH_0023,0,40,100.77,0.0
BATCH_0023,1,40,100.51,0.0
BATCH_0023,3,25,100.86,0.0
BATCH_0023,6,25,99.51,0.49
BATCH_0023,9,40,98.97,1.03
BATCH_0023,12,40,98.03,1.97
BATCH_0024,0,30,100.86,0.0
BATCH_0024,1,25,100.01,0.0
BATCH_0024,3,40,99.69,0.31
BATCH_0024,6,40,99.03,0.97
BATCH_0024,9,25,96.88,3.12
BATCH_0024,12,25,96.54,3.46
BATCH_0025,0,30,100.07,0.0
BATCH_0025,1,40,100.63,0.0
BATCH_0025,3,30,99.66,0.34
BATCH_0025,6,40,97.81,2.19
BATCH_0025,9,30,97.75,2.25
BATCH_0025,12,25,96.63,3.37
BATCH_0026,0,25,98.9,1.1
BATCH_0026,1,40,98.85,1.15
BATCH_0026,3,40,98.43,1.57
BATCH_0026,6,40,97.6,2.4
BATCH_0026,9,25,97.06,2.94
BATCH_0026,12,30,96.51,3.49
BATCH_0027,0,25,101.14,0.0
BATCH_0027,1,30,100.2,0.0
BATCH_0027,3,25,100.44,0.0
BATCH_0027,6,30,99.15,0.85
BATCH_0027,9,25,97.4,2.6
BATCH_0027,12,25,97.03,2.97
BATCH_0028,0,25,99.66,0.34
BATCH_0028,1,30,99.47,0.53
BATCH_0028,3,40,98.73,1.27
BATCH_0028,6,25,97.74,2.26
BATCH_0028,9,30,95.98,4.02
BATCH_0028,12,30,95.15,4.85
BATCH_0029,0,25,100.23,0.0
BATCH_0029,1,30,99.36,0.64
BATCH_0029,3,25,99.21,0.79
BATCH_0029,6,40,97.53,2.47
BATCH_0029,9,30,96.86,3.14
BATCH_0029,12,30,97.0,3.0
BATCH_0030,0,25,99.61,0.39
BATCH_0030,1,30,97.8,2.2
BATCH_0030,3,30,97.69,2.31
BATCH_0030,6,25,97.41,2.59
BATCH_0030,9,30,95.68,4.32
BATCH_0030,12,25,95.76,4.24
BATCH_0031,0,25,97.73,2.27
BATCH_0031,1,30,98.05,1.95
BATCH_0031,3,40,97.66,2.34
BATCH_0031,6,30,96.3,3.7
BATCH_0031,9,40,95.96,4.04
BATCH_0031,12,30,95.06,4.94
BATCH_0032,0,25,102.12,0.0
BATCH_0032,1,40,101.09,0.0
BATCH_0032,3,25,101.39,0.0
BATCH_0032,6,40,100.08,0.0
BATCH_0032,9,25,98.62,1.38
BATCH_0032,12,40,97.9,2.1
BATCH_0033,0,25,99.19,0.81
BATCH_0033,1,30,98.1,1.9
BATCH_0033,3,40,98.14,1.86
BATCH_0033,6,25,97.04,2.96
BATCH_0033,9,25,96.3,3.7
BATCH_0033,12,40,95.56,4.44
BATCH_0034,0,25,98.47,1.53
BATCH_0034,1,40,99.24,0.76
BATCH_0034,3,30,98.61,1.39
BATCH_0034,6,40,97.11,2.89
BATCH_0034,9,25,96.17,3.83
BATCH_0034,12,40,95.62,4.38
BATCH_0035,0,30,101.54,0.0
BATCH_0035,1,40,100.78,0.0
BATCH_0035,3,25,100.67,0.0
BATCH_0035,6,30,98.88,1.12
BATCH_0035,9,30,98.67,1.33
BATCH_0035,12,25,98.29,1.71
BATCH_0036,0,25,99.37,0.63
BATCH_0036,1,40,98.87,1.13
BATCH_0036,3,40,97.46,2.54
BATCH_0036,6,30,98.31,1.69
BATCH_0036,9,30,97.32,2.68
BATCH_0036,12,30,95.57,4.43
BATCH_0037,0,30,100.97,0.0
BATCH_0037,1,40,101.66,0.0
BATCH_0037,3,30,99.71,0.29
BATCH_0037,6,30,100.13,0.0
BATCH_0037,9,25,98.37,1.63
BATCH_0037,12,30,97.9,2.1
BATCH_0038,0,25,100.07,0.0
BATCH_0038,1,30,99.33,0.67
BATCH_0038,3,30,99.52,0.48
BATCH_0038,6,25,96.77,3.23
BATCH_0038,9,25,96.72,3.28
BATCH_0038,12,30,97.06,2.94
BATCH_0039,0,25,101.1,0.0
BATCH_0039,1,30,100.2,0.0
BATCH_0039,3,30,99.4,0.6
BATCH_0039,6,40,98.93,1.07
BATCH_0039,9,40,98.39,1.61
BATCH_0039,12,25,97.26,2.74
BATCH_0040,0,40,98.31,1.69
BATCH_0040,1,40,98.08,1.92
BATCH_0040,3,40,97.86,2.14
BATCH_0040,6,30,95.8,4.2
BATCH_0040,9,25,95.76,4.24
BATCH_0040,12,25,95.26,4.74
BATCH_0041,0,40,99.19,0.81
BATCH_0041,1,25,98.28,1.72
BATCH_0041,3,40,97.57,2.43
BATCH_0041,6,30,95.95,4.05
BATCH_0041,9,40,95.21,4.79
BATCH_0041,12,30,94.44,5.56
BATCH_0042,0,40,98.8,1.2
BATCH_0042,1,40,97.94,2.06
BATCH_0042,3,25,98.04,1.96
BATCH_0042,6,40,97.38,2.62
BATCH_0042,9,30,96.21,3.79
BATCH_0042,12,40,95.55,4.45
BATCH_0043,0,25,99.24,0.76
BATCH_0043,1,30,99.58,0.42
BATCH_0043,3,25,99.05,0.95
BATCH_0043,6,40,97.62,2.38
BATCH_0043,9,30,97.87,2.13
BATCH_0043,12,30,96.24,3.76
BATCH_0044,0,40,99.36,0.64
BATCH_0044,1,25,98.97,1.03
BATCH_0044,3,40,98.61,1.39
BATCH_0044,6,25,97.52,2.48
