Product_Name,Manufacturing_Site,Manufacturing_Line,Batch_Start_Time,Reaction_Time,Reactor_Temp,Pressure,pH,Agitation_Speed,Yield,Batch_Status,Batch_End_Time,Sample_ID,Instrument_Type,Retention_Time,Impurity_A,Impurity_B,Total_Impurity,Purity,Test_Date,temp_mean,temp_max,pressure_mean,pressure_max,ph_mean,ph_std,oxygen_mean,temp_pressure_ratio,reaction_intensity,impurity_ratio
AtorvaCap,Plant_B,Line_3,2024-04-29,7.51,70.72,1.79,6.92,199.0,89.33,Pass,2024-04-29 07:30:36.000000000,SMP_00000,HPLC,5.081,0.0985,0.0468,0.1453,98.547,2024-08-09,76.1947,78.351,1.4607599999999998,1.603,6.92823,0.046722878483001995,39.901109999999996,25.347670250896055,531.1071999999999,0.0014596120425527642
AmoxiTab,Plant_B,Line_3,2024-02-28,8.07,71.9,1.87,5.94,243.0,92.42,Pass,2024-02-28 08:04:12.000000000,SMP_00001,UPLC,5.228,0.1699,0.1567,0.3266,96.734,2024-03-31,73.02314,75.426,1.63244,1.771,6.6811,0.05371482875596681,39.006820000000005,25.05226480836237,580.2330000000001,0.003341723453455297
AtorvaCap,Plant_A,Line_1,2024-08-02,5.79,76.69,1.63,6.91,221.0,97.13,Pass,2024-08-02 05:47:24.000000000,SMP_00002,HPLC,5.271,0.3265,0.1627,0.4892,95.108,2024-06-15,70.4572,72.412,1.43845,1.587,6.76727,0.049420041532262045,37.62628,29.159695817490494,444.0351,0.005090106962999958
AtorvaCap,Plant_B,Line_1,2024-05-07,7.87,79.08,1.4,6.89,206.0,94.53,Pass,2024-05-07 07:52:12.000000000,SMP_00003,UPLC,5.603,0.3011,0.2016,0.5027,94.973,2024-07-25,74.30053,76.268,1.44028,1.558,6.7275599999999995,0.04851102550925525,43.18985,32.95,622.3596,0.00523793150156815
AmoxiTab,Plant_B,Line_2,2024-08-11,9.78,80.5,1.02,6.6,188.0,94.03,Pass,2024-08-11 09:46:48.000000000,SMP_00004,UPLC,5.393,0.2088,0.074,0.2828,97.172,2024-10-08,73.5856,75.344,1.51545,1.631,6.752000000000001,0.057505379634158346,50.48639,39.851485148514854,787.29,0.002880658436213992
AmoxiTab,Plant_A,Line_2,2024-07-27,7.01,70.71,1.27,5.97,227.0,98.52,Pass,2024-07-27 07:00:36.000000000,SMP_00005,HPLC,5.548,0.3311,0.2235,0.5546,94.454,2024-03-05,74.48176000000001,76.274,1.77982,1.886,6.8547199999999995,0.04527359700596568,48.23993,31.149779735682817,495.67709999999994,0.005810128438829175
AtorvaCap,Plant_B,Line_1,2024-04-24,9.53,77.17,1.36,6.71,239.0,87.84,Pass,2024-04-24 09:31:48.000000000,SMP_00006,UPLC,4.931,0.2638,0.3329,0.5967,94.033,2024-01-04,74.498,76.652,1.4297,1.552,6.797039999999999,0.05134512261317152,39.08511,32.69915254237288,735.4300999999999,0.0062788715498826725
MetforminXR,Plant_A,Line_2,2024-07-27,8.14,80.94,1.29,6.79,229.0,91.26,Pass,2024-07-27 08:08:24.000000000,SMP_00007,HPLC,5.131,0.1996,0.218,0.4176,95.824,2024-06-05,69.89151,72.25,1.41657,1.523,6.74565,0.04962554225844213,39.59341,35.34497816593886,658.8516000000001,0.004312980252829877
AtorvaCap,Plant_A,Line_1,2024-01-14,5.92,70.06,1.52,6.65,212.0,84.98,Fail,2024-01-14 05:55:12.000000000,SMP_00008,HPLC,5.248,0.2317,0.1874,0.4191,95.809,2024-09-05,77.3955,79.196,1.53552,1.652,6.940840000000001,0.0522878049401058,42.233450000000005,27.801587301587304,414.7552,0.00432914295158508
AtorvaCap,Plant_B,Line_2,2024-01-09,6.34,82.43,1.4,6.07,224.0,87.62,Pass,2024-01-09 06:20:24.000000000,SMP_00009,HPLC,4.816,0.2045,0.0698,0.2743,97.257,2024-09-13,75.75243999999999,77.475,1.53732,1.655,6.828869999999999,0.05404312811976832,42.04475,34.34583333333334,522.6062000000001,0.0027916586095647128
AtorvaCap,Plant_B,Line_1,2024-02-09,9.38,83.19,1.55,7.44,224.0,96.3,Pass,2024-02-09 09:22:48.000000000,SMP_00010,UPLC,5.436,0.1316,0.1181,0.2497,97.503,2024-08-22,77.54898,80.112,1.51913,1.635,6.84031,0.044663657745781654,38.65626,32.62352941176471,780.3222000000001,0.0025349481741672843
AtorvaCap,Plant_B,Line_1,2024-08-24,8.83,88.13,1.86,6.54,226.0,88.33,Pass,2024-08-24 08:49:48.000000000,SMP_00011,UPLC,5.328,0.3757,0.1755,0.5512,94.488,2024-11-01,74.87528,76.9,1.4819399999999998,1.706,6.8417200000000005,0.05611551577871385,45.5427,30.81468531468531,778.1879,0.005772453083109919
AmoxiTab,Plant_B,Line_1,2024-10-07,8.15,76.15,1.38,6.71,184.0,94.94,Pass,2024-10-07 08:09:00.000000000,SMP_00012,UPLC,5.127,0.1932,0.1376,0.3308,96.692,2024-03-14,73.01812,75.258,1.51851,1.646,6.79077,0.04709175548164922,36.91661,31.995798319327736,620.6225000000001,0.0033861523973303855
AtorvaCap,Plant_A,Line_2,2024-12-24,7.59,76.18,1.09,5.84,226.0,98.63,Pass,2024-12-24 07:35:24.000000000,SMP_00013,HPLC,5.163,0.1668,0.2621,0.4289,95.711,2024-07-05,71.67522,73.473,1.53038,1.645,6.874149999999999,0.048256548202751104,26.043270000000003,36.449760765550245,578.2062000000001,0.00443486263196534
MetforminXR,Plant_B,Line_2,2024-07-19,8.32,79.13,1.29,7.44,207.0,91.29,Pass,2024-07-19 08:19:12.000000000,SMP_00014,HPLC,5.451,0.0971,0.2227,0.3198,96.802,2024-03-02,72.74004,74.709,1.4324199999999998,1.579,6.66647,0.051295234779763825,39.35957,34.55458515283843,658.3616,0.0032698717817631535
AmoxiTab,Plant_A,Line_2,2024-09-02,9.32,78.99,1.68,6.61,251.0,94.08,Pass,2024-09-02 09:19:12.000000000,SMP_00015,HPLC,5.041,0.0136,0.3954,0.409,95.91,2024-12-02,74.74186,77.399,1.23794,1.377,6.75013,0.05121092351118719,48.938109999999995,29.473880597014926,736.1868,0.004220410690331235
MetforminXR,Plant_B,Line_1,2024-10-04,10.21,80.63,1.7,6.84,224.0,94.97,Pass,2024-10-04 10:12:36.000000000,SMP_00016,UPLC,5.459,0.3201,0.1015,0.4216,95.784,2024-06-12,75.01890999999999,76.843,1.41081,1.533,6.78648,0.04641435688720163,39.39367,29.86296296296296,823.2323,0.004356091916019177
MetforminXR,Plant_B,Line_2,2024-08-22,10.29,78.92,1.62,7.25,245.0,87.11,Pass,2024-08-22 10:17:23.999999999,SMP_00017,HPLC,5.15,0.3294,0.1826,0.512,94.88,2024-02-25,74.56769,76.716,1.6103999999999998,1.716,6.900220000000001,0.0519958389943587,45.84752,30.12213740458015,812.0867999999999,0.005340008343763037
MetforminXR,Plant_B,Line_2,2024-01-04,8.56,74.47,1.89,6.53,211.0,89.53,Pass,2024-01-04 08:33:36.000000000,SMP_00018,HPLC,5.351,0.3693,0.0693,0.4386,95.614,2024-04-20,73.116,75.492,1.6726699999999999,1.751,6.855309999999999,0.052722773144826256,40.039699999999996,25.7681660899654,637.4632,0.004539714741134825
MetforminXR,Plant_A,Line_1,2024-06-02,7.74,81.11,1.44,7.19,212.0,87.99,Pass,2024-06-02 07:44:24.000000000,SMP_00019,UPLC,5.217,0.2351,0.0022,0.2373,97.627,2024-08-05,73.65382,75.99,1.24397,1.353,6.913970000000001,0.048356724747265656,42.66758,33.24180327868852,627.7914000000001,0.0024060348586086976
AmoxiTab,Plant_B,Line_3,2024-01-29,8.22,69.64,2.12,5.98,265.0,89.85,Pass,2024-01-29 08:13:12.000000000,SMP_00020,UPLC,5.647,0.2178,0.2378,0.4556,95.444,2024-08-27,74.59534,76.503,1.5952899999999999,1.714,6.71738,0.052675637901052785,36.8615,22.32051282051282,572.4408000000001,0.004723984903156236
AmoxiTab,Plant_B,Line_1,2024-04-18,8.78,75.03,1.75,7.02,233.0,94.86,Pass,2024-04-18 08:46:48.000000000,SMP_00021,UPLC,5.023,0.1992,0.2197,0.4189,95.811,2024-01-21,72.72743,74.465,1.4582300000000001,1.594,6.88721,0.04541999181600175,45.14443,27.283636363636365,658.7633999999999,0.004326987635702554
MetforminXR,Plant_B,Line_2,2024-04-07,8.78,82.82,0.74,7.43,199.0,89.62,Pass,2024-04-07 08:46:48.000000000,SMP_00022,HPLC,5.085,0.2083,0.1116,0.3199,96.801,2024-05-20,72.88604000000001,75.268,1.4631399999999999,1.601,6.86369,0.052450976630516094,35.14778,47.59770114942528,727.1595999999998,0.003270927700125766
MetforminXR,Plant_B,Line_1,2024-08-02,9.96,68.75,2.04,6.57,247.0,91.86,Pass,2024-08-02 09:57:36.000000000,SMP_00023,HPLC,4.899,0.362,0.1874,0.5494,94.506,2024-09-21,76.62621,78.914,1.68671,1.81,6.78859,0.049385536466876746,30.356930000000002,22.61513157894737,684.7500000000001,0.005752518166397922
AmoxiTab,Plant_A,Line_3,2024-10-19,11.17,71.61,1.27,7.25,204.0,87.83,Pass,2024-10-19 11:10:12.000000000,SMP_00024,HPLC,4.981,0.2473,0.1297,0.377,96.23,2024-05-18,78.06205,80.009,1.55147,1.68,6.960929999999999,0.048141469764758194,38.25594,31.546255506607928,799.8837,0.0038774040933868144
